numero;nome
85;Anunciai o santo Evangelho (Batismo)
41;O teu coração vem a Cristo entregar
60;Oh! Vem a Jesus
64;Tu, que vives sem destino
66;Cansado estás? Vem a Jesus
67;“Vinde a Mim!”
68;Sem tardar, vai a Cristo
75;Vem a Jesus, ó alma errante
93;Aceitando ao Senhor...
107;O fim de tudo chegará
154;Terá que renascer
155;Olha a Cristo, o Redentor
157;Ouve a voz que te convida...
161;Cristo quer salvar
163;Neste mundo de ilusão
167;Água viva
174;Vem atender ao Seu chamado
175;O Senhor Jesus te chama
181;Só em Cristo, só em Cristo
183;Cristo Jesus é a Porta dos céus
223;Muitos, por fé, aceitaram Jesus
224;Só Jesus concede paz e salvação
227;Procuras tu ao Salvador?
308;Soa a trombeta
316;Tua vida é triste?
318;Ó Salvador, vem converter o pecador
323;Oh! Não busques, ansioso
331;Vem a Cristo sem tardar
369;Sentes bater em teu coração?
404;Por fé, recebe o grande Mestre
405;Só por Cristo temos salvação
406;A voz de Cristo te convida: Vem!
