numero;nome
466;A criança consagrada
480;A Deus e a Cristo, o Senhor...
461;A Jesus, meu Senhor, minha vida consagrei...
434;A minha alma sente paz no Senhor
461;Abrigado em Jesus
445;Ajuntemos um tesouro eterno
455;Alegremente seguimos os passos...
436;Alegria sinto em servir Jesus
465;Ao eterno Pai celeste honra e glória vamos dar...
456;Ao voltar, com grande glória...
449;As riquezas celestes eu almejo, Senhor...
438;Bem perto está dos Seus fiéis...
442;Bênçãos, bênçãos Deus derramará
447;Brilha mais e mais
478;Cedo retorna o Senhor
454;Cidadão dos céus
474;Com alegria devemos servir...
463;Com valor, ó jovens, santos do Senhor...
457;Comigo está Jesus
453;Consagrados sejamos a Deus
476;Crianças eram encaminhadas...
459;Cristo Jesus breve voltará, vamos nos preparar...
458;Cristo me ama
440;Debaixo do sol tudo é vaidade...
476;"""Deixai a Mim vir os pequeninos..."""
472;Desde pequenino, Deus, o Criador...
465;Deus tem por nós imenso amor
439;Em amor, com vigor...
433;Estamos, ó meninos, na escola do Senhor...
447;Estás na senda divinal que te faz brilhar...
457;Estou com Jesus, meu Senhor...
441;Eu sou um cordeirinho
473;Forasteiro sou no mundo
459;Glória! Glória a Cristo, o Rei dos Reis!...
469;Glória, glória, glória eterna...
472;Glorificarei, glorificarei
462;Gloriosa é a história
450;Grande bem, sem igual...
477;Grande tesouro revelou Jesus...
475;Já desde a minha infância clamo a Ti...
451;Jamais esquecerei Tua mercê
470;Jesus Cristo, Seus fiéis, ensina
452;Jesus, ó divinal Pastor
480;Jovens, amai o conselho
440;Lembra-te do teu Criador!
463;Mocidade! Vamos combater!
433;Na santa escola
451;Não poderei jamais esquecer...
465;Nesta hora reunidos nós estamos ante Deus...
440;Nos dias da tua peregrinação...
431;Nós estamos na presença...
449;O meu nome no céu escreveste, Senhor
454;Ó Deus bendito, sou pequenino...
435;Ó Jesus, quanto és piedoso!
443;Ó meninos, Deus vos convida
431;Ó meninos, estamos reunidos
444;Ó meninos, exaltemos
474;Oh! Glória! Bendito é o Senhor!
438;Oh! Que amor celeste!
437;Os meninos viram Jesus passar
469;Pai nosso, que estás nos céus
438;Perto está o Salvador...
436;Privilégio santo, sem igual...
455;Quão ditoso é caminhar com Jesus!
462;Quão gloriosa é a história...
479;Que alegria encontramos...
471;Que grande bem é andar com Cristo!
464;Reunidos nós estamos
475;Se eu for aqui provado
453;Se quisermos, irmãos, do Senhor receber...
432;Senhor Jesus, bom Redentor, envia Teu poder...
467;Sigamos com fervor, Jesus, o Salvador...
456;Somos jóias preciosas
439;Somos jovens
479;Somos jovens consagrados
458;Sou amado por Jesus...
448;Sou criança, Senhor
468;Toda a criança...
467;Vamos com Jesus
459;Vamos nos preparar!
460;Vamos todos juntos cantar
450;Vamos, queridos, escolher a boa parte
432;Vem, ó Senhor bondoso
474;Vida eterna certo alcançarão...
477;Vinde, crianças
473;Viverei com os fiéis...
446;Vós, ó jovens do Senhor
