Número do Hino,Nome do Hino
1,"Cristo, meu Mestre..."
2,De Deus tu és eleita
3,Faz-nos ouvir Tua voz
3,"Ó caro Salvador, a Tua voz de amor..."
4,Nossos olhos para os céus...
4,Ouve a nossa oração
5,A Rocha celestial
5,Sábio e prudente será o varão...
6,"Ao Cordeiro imaculado, Jesus Cristo..."
6,"Glória ao Justo, fiel Cordeiro!"
7,"Granjeai, granjeai os talentos"
7,Os talentos Jesus nos tem dado...
8,"Nesta terrena vida, ó justo Redentor..."
8,"Oh! Vem, sim, vem"
9,Luminosa é a senda
9,Que prazer é viver com o meu bom Jesus!...
10,Certamente exaltado será...
10,Prossegui vitoriosos em Cristo
11,"Tu és a igreja de Jesus Cristo, o Cordeiro..."
11,"Ó igreja de Deus, resplandece"
12,Cristo me guia com poder...
12,Sempre em Jesus confiarei
13,Confiemos em Deus
13,"Ó amados, venceremos este mundo enganador..."
14,Manda os Teus dons celestes
14,"Os Teus fiéis, reunidos ante a Tua presença..."
15,Ó alma que choras
16,"Envia, ó Deus, por amor..."
16,Promessa excelente
17,Com o Espírito divino...
17,"Ó Senhor, vem visitar-me"
18,Grande é a tormenta e a tribulação...
18,É Jesus meu Refúgio
19,Manda-nos Teu Poder
20,Teu Espírito derrama
20,"Vem com Teu Poder, Senhor..."
21,A volta de Cristo glorioso...
21,Não mais oprimidos seremos
22,"Guia-me, ó Senhor"
23,O Senhor é o meu Pastor
24,"Dá-me graça, Senhor"
24,Quero amar-Te com todo o fervor...
25,"Um grande bem, precioso bem"
26,"Julga-me, Senhor"
26,"Teu Espírito, ó Senhor..."
27,O Senhor é minha Luz
28,Marchemos para o céu...
28,Para o céu marchemos
29,"Senhor Jesus, Tu és o meu Rochedo"
29,"Ó Senhor, vem conduzir-me..."
30,Confiarei sempre no Senhor
30,Cristo é bom e clemente...
31,Forte Rocha
32,"Eu me escondo em Ti, Senhor"
33,Jesus é o nosso Guia
33,Quem pode consolar-nos...
34,O Mestre que desceu dos céus
35,Eis que multidão mui grande
36,A fiel proteção
36,O Teu manto de amor sinto estar sobre mim...
37,Se a nossa vida entregarmos a Jesus
38,"Ó Senhor, és minha Vida"
39,"Eu desejo, Senhor"
39,"Quero, ó Deus, consagrar-Te meu ser..."
40,Quanto em mim Tu operaste
