tipo,numero,titulo,arquivo
hino,1,"Cristo, Meu Mestre",hino-001-cristo-meu-mestre.txt
hino,2,De Deus Tu És Eleita,hino-002-de-deus-tu-es-eleita.txt
hino,3,Faz-Nos Ouvir Tua Voz,hino-003-faz-nos-ouvir-tua-voz.txt
hino,4,Ouve a Nossa Oração,hino-004-ouve-a-nossa-oracao.txt
hino,5,A Rocha Celestial,hino-005-a-rocha-celestial.txt
hino,6,"Glória ao Justo, fiel Cordeiro",hino-006-gloria-ao-justo-fiel-cordeiro.txt
hino,7,"Granjeai, granjeai os talentos",hino-007-granjeai-granjeai-os-talentos.txt
hino,8,"Oh! Vem, Sim, Vem",hino-008-oh-vem-sim-vem.txt
hino,9,Luminosa é a Senda,hino-009-luminosa-e-a-senda.txt
hino,10,Prossegui Vitoriosos Em Cristo,hino-010-prossegui-vitoriosos-em-cristo.txt
hino,11,"Ó Igreja de Deus, Resplandece",hino-011-o-igreja-de-deus-resplandece.txt
hino,12,Sempre Em Jesus Confiarei,hino-012-sempre-em-jesus-confiarei.txt
hino,13,Confiemos em Deus,hino-013-confiemos-em-deus.txt
hino,14,Manda Os Teus Dons Celestes,hino-014-manda-os-teus-dons-celestes.txt
hino,15,Ó Alma Que Choras,hino-015-o-alma-que-choras.txt
hino,16,Promessa Excelente,hino-016-promessa-excelente.txt
hino,17,"Ó Senhor, Vem Visitar-Me",hino-017-o-senhor-vem-visitar-me.txt
hino,18,É Jesus Meu Refúgio,hino-018-e-jesus-meu-refugio.txt
hino,19,Manda-Nos Teu Poder,hino-019-manda-nos-teu-poder.txt
hino,20,Teu Espírito Derrama,hino-020-teu-espirito-derrama.txt
hino,21,Não Mais Oprimidos Seremos,hino-021-nao-mais-oprimidos-seremos.txt
hino,22,"Guia-me, Ó Senhor",hino-022-guia-me-o-senhor.txt
hino,23,O Senhor é o Meu Pastor,hino-023-o-senhor-e-o-meu-pastor.txt
hino,24,"Dá-me Graça, Senhor",hino-024-da-me-graca-senhor.txt
hino,25,"Um Grande Bem, Precioso Bem",hino-025-um-grande-bem-precioso-bem.txt
hino,26,"Julga-me, Senhor",hino-026-julga-me-senhor.txt
hino,27,O Senhor é Minha Luz,hino-027-o-senhor-e-minha-luz.txt
hino,28,Para o Céu Marchemos,hino-028-para-o-ceu-marchemos.txt
hino,29,"Senhor Jesus, Tu És o Meu Rochedo",hino-029-senhor-jesus-tu-es-o-meu-rochedo.txt
hino,30,Confiarei Sempre no Senhor,hino-030-confiarei-sempre-no-senhor.txt
hino,31,Forte Rocha,hino-031-forte-rocha.txt
hino,32,"Eu Me Escondo Em Ti, Senhor",hino-032-eu-me-escondo-em-ti-senhor.txt
hino,33,Jesus é o Nosso Guia,hino-033-jesus-e-o-nosso-guia.txt
hino,34,O Mestre Que Desceu Dos Céus,hino-034-o-mestre-que-desceu-dos-ceus.txt
hino,35,Eis Que Multidão Mui Grande,hino-035-eis-que-multidao-mui-grande.txt
hino,36,A Fiel Proteção,hino-036-a-fiel-protecao.txt
hino,37,Se A Nossa Vida Entregarmos a Jesus,hino-037-se-a-nossa-vida-entregarmos-a-jesus.txt
hino,38,"Ó Senhor, És Minha Vida (Com Veneração)",hino-038-o-senhor-es-minha-vida-com-veneracao.txt
hino,39,"Eu Desejo, Senhor",hino-039-eu-desejo-senhor.txt
hino,40,Quanto Em Mim Tu Operaste,hino-040-quanto-em-mim-tu-operaste.txt
